time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/loss,train/clip_fraction,train/value_loss,train/clip_range
74,820,184,10.957421080000001,151552,11.44,730,0.00087145297,-0.005279787536710501,-15.768179225921632,0.0001,0.09873151779174805,1.014821171760559,16.593278884887695,0.005029296875,33.96266403198242,0.1
75,820,187,9.237503339999998,153600,10.81,740,0.00093066634,-0.004790534358471632,-15.770904541015625,0.0001,0.053221702575683594,1.014989972114563,25.55401611328125,0.00654296875,52.04285011291504,0.1
76,820,189,10.739955430000002,155648,10.73,750,0.0011978915,-0.005573609692510218,-15.772245788574219,0.0001,0.06318765878677368,1.0151034593582153,20.229381561279297,0.01103515625,41.323826217651366,0.1
77,820,192,8.91141153,157696,10.42,760,0.0012147967,-0.004955961462110281,-15.773402118682862,0.0001,0.09680640697479248,1.0151829719543457,19.601247787475586,0.01318359375,40.04404296875,0.1
78,820,194,10.612432239999999,159744,10.77,770,0.0007882529,-0.005023710592649877,-15.773958110809327,0.0001,0.08725547790527344,1.015211582183838,20.99163055419922,0.004443359375,42.8191162109375,0.1
79,820,197,9.6869377,161792,10.24,780,0.0009769009,-0.00502481268486008,-15.7746262550354,0.0001,0.07551705837249756,1.0153522491455078,17.271045684814453,0.006494140625,35.356052780151366,0.1
80,821,199,10.30431642,163840,11.21,790,0.0011075542,-0.00540239498950541,-15.776476669311524,0.0001,0.08069181442260742,1.0155253410339355,16.430561065673828,0.009423828125,33.660322952270505,0.1
81,821,202,9.83031212,165888,10.72,800,0.00088159036,-0.004430867300834506,-15.778414344787597,0.0001,0.05264025926589966,1.0157181024551392,22.438766479492188,0.005810546875,45.701811981201175,0.1
82,821,204,11.03958792,167936,11.1,810,0.001080188,-0.006098394095897674,-15.780476570129395,0.0001,0.11514836549758911,1.01591157913208,15.8231840133667,0.008251953125,32.42662124633789,0.1
83,821,207,10.818927669999999,169984,11.3,820,0.00097340415,-0.004549649835098535,-15.78244981765747,0.0001,0.07270258665084839,1.0160654783248901,20.993549346923828,0.00732421875,42.86540756225586,0.1
84,821,209,9.55712368,172032,10.53,830,0.0009276988,-0.005456206249073147,-15.784106349945068,0.0001,0.093178391456604,1.0162495374679565,19.118738174438477,0.004638671875,39.10580329895019,0.1
85,821,212,10.29388667,174080,12.15,840,0.0011916722,-0.00606164539931342,-15.78629503250122,0.0001,0.1326606273651123,1.0164680480957031,18.063032150268555,0.009765625,36.92504653930664,0.1
86,821,214,9.06493515,176128,10.79,850,0.0012854785,-0.005554924986790865,-15.788829231262207,0.0001,0.10427486896514893,1.0166993141174316,20.977861404418945,0.0125,42.8440444946289,0.1
87,821,217,9.93831277,178176,11.04,860,0.00162794,-0.006479658209718764,-15.791052055358886,0.0001,0.10383808612823486,1.0168734788894653,17.295412063598633,0.01962890625,35.387206649780275,0.1
88,821,219,9.61777025,180224,10.19,870,0.00085192407,-0.005081541044637561,-15.792545604705811,0.0001,0.10536950826644897,1.0169645547866821,19.1727294921875,0.00458984375,39.14019622802734,0.1
89,821,222,9.032739359999999,182272,11.29,880,0.0013307075,-0.006302654929459095,-15.793286418914795,0.0001,0.12323641777038574,1.0170255899429321,17.39462661743164,0.013037109375,35.58498420715332,0.1
90,821,224,10.56411673,184320,11.07,890,0.0012446847,-0.004982192115858197,-15.793879508972168,0.0001,0.09007793664932251,1.0170575380325317,20.73633575439453,0.01220703125,42.33293495178223,0.1
91,821,226,10.030639050000001,186368,10.25,900,0.0011638106,-0.005245500220917165,-15.794104099273682,0.0001,0.13968122005462646,1.0170807838439941,17.982406616210938,0.01064453125,36.711744689941405,0.1
92,821,229,9.59874361,188416,11.08,910,0.0019169777,-0.007138787163421511,-15.794497776031495,0.0001,0.11407709121704102,1.0171340703964233,15.461578369140625,0.027685546875,31.731806755065918,0.1
93,821,231,10.937445550000001,190464,11.1,920,0.0014317288,-0.006695704883895814,-15.794990634918213,0.0001,0.12031936645507812,1.017137885093689,17.292476654052734,0.01533203125,35.33278465270996,0.1
94,821,234,10.08178467,192512,9.64,930,0.0011103768,-0.004583191813435405,-15.79494047164917,0.0001,0.0776563286781311,1.017166018486023,27.630165100097656,0.009326171875,56.17808532714844,0.1
95,821,236,11.10084189,194560,10.76,940,0.00081763405,-0.00504781196359545,-15.79579668045044,0.0001,0.14872974157333374,1.0173224210739136,15.867538452148438,0.004541015625,32.48736343383789,0.1
